Value Set Name,Code System,Code,Code Description,,,
Encephalopathy,SNOMEDCT,37960002,Sanger-Brown cerebellar ataxia,,,
Encephalopathy,SNOMEDCT,447292006,Mitochondrial encephalomyopathy,,,
Encephalopathy,SNOMEDCT,230749002,Postmeningitic hydrocephalus,,,
Encephalopathy,SNOMEDCT,237578000,Excessive somatostatin secretion,,,
Encephalopathy,SNOMEDCT,246538002,Seizure causing illusions,,,
Encephalopathy,SNOMEDCT,33941008,Simple partial seizure with disturbance of higher cerebral function,,,
Encephalopathy,SNOMEDCT,42440009,Partial seizure with illusions and hallucinations,,,
Encephalopathy,SNOMEDCT,276596008,Cerebral irritation,,,
Encephalopathy,SNOMEDCT,4113009,Arrested hydrocephalus,,,
Encephalopathy,SNOMEDCT,192814005,Cerebral degeneration due to congenital hydrocephalus,,,
Encephalopathy,SNOMEDCT,230231003,Early onset cerebellar ataxia with essential tremor,,,
Encephalopathy,SNOMEDCT,276592005,Perinatal occipital diastasis,,,
Encephalopathy,SNOMEDCT,419261000000107,"[X]Dementia in Alzheimer's dis, atypical or mixed type",,,
Encephalopathy,SNOMEDCT,410015008,Post-traumatic non-communicating hydrocephalus,,,
Encephalopathy,SNOMEDCT,72103000,Simple partial seizure with special sensory symptoms,,,
Encephalopathy,SNOMEDCT,59457001,Simple partial seizure evolving to secondary generalised seizure,,,
Encephalopathy,SNOMEDCT,246536003,Cognitive seizure,,,
Encephalopathy,SNOMEDCT,49644006,Simple partial onset seizure followed by impaired consciousness,,,
Encephalopathy,SNOMEDCT,449203004,Focal seizure with experiential sensory symptoms,,,
Encephalopathy,SNOMEDCT,904531000000100,Bilateral spastic cerebral palsy,,,
Encephalopathy,SNOMEDCT,29315008,Idiopathic adductor spastic dysphonia,,,
Encephalopathy,SNOMEDCT,885831000000109,Choreoathetoid cerebral palsy,,,
Encephalopathy,SNOMEDCT,361116004,Female Kallman's syndrome,,,
Encephalopathy,SNOMEDCT,253101008,Congenital cerebral hernia,,,
Encephalopathy,SNOMEDCT,448218008,Malignant neoplasm of cerebellopontine angle,,,
Encephalopathy,SNOMEDCT,93962006,Primary malignant neoplasm of pineal gland,,,
Encephalopathy,SNOMEDCT,254961003,Mixed-functioning pituitary adenoma,,,
Encephalopathy,SNOMEDCT,93748005,Primary malignant neoplasm of cerebral ventricle,,,
Encephalopathy,SNOMEDCT,237687003,Autosomal dominant isolated somatotropin deficiency,,,
Encephalopathy,SNOMEDCT,188290004,Malignant neoplasm of uncus,,,
Encephalopathy,SNOMEDCT,62904009,Spastic pseudobulbar dysphonia,,,
Encephalopathy,SNOMEDCT,19903002,Adductor spastic dysphonia,,,
Encephalopathy,SNOMEDCT,943121000000104,Psychoactive substance-induced psychosis,,,
Encephalopathy,SNOMEDCT,209868002,"Cortex laceration with open intracranial wound, with more than 24 hours loss of consciousness without return to pre-existing conscious level",,,
Encephalopathy,SNOMEDCT,230305002,Chronic hepatocerebral degeneration,,,
Encephalopathy,SNOMEDCT,41009006,Progressive cerebellar tremor,,,
Encephalopathy,SNOMEDCT,230237004,Progressive spinocerebellar ataxia with decreased tendon reflexes,,,
Encephalopathy,SNOMEDCT,46808003,Marie's cerebellar ataxia,,,
Encephalopathy,SNOMEDCT,45897005,Jervis' syndrome,,,
Encephalopathy,SNOMEDCT,370502006,Encephalomyelopathy,,,
Encephalopathy,SNOMEDCT,10277002,Cerebellopontine angle syndrome,,,
Encephalopathy,SNOMEDCT,230357002,Urate encephalopathy,,,
Encephalopathy,SNOMEDCT,237689000,Growth hormone neurosecretory dysfunction,,,
Encephalopathy,SNOMEDCT,4645000,Senile brain amyloidosis,,,
Encephalopathy,SNOMEDCT,45740001,Diencephalic syndrome of infancy,,,
Encephalopathy,SNOMEDCT,313081000009101,Hyperplasia of pituitary gland,,,
Encephalopathy,SNOMEDCT,27358001,Sylvian aqueduct syndrome,,,
Encephalopathy,SNOMEDCT,271986005,Disorder of brain ventricular shunt,,,
Encephalopathy,SNOMEDCT,432241000124101,Typical absence seizure,,,
Encephalopathy,SNOMEDCT,237682009,Panhypopituitarism - anterior and posterior,,,
Encephalopathy,SNOMEDCT,230353003,Morel laminar sclerosis,,,
Encephalopathy,SNOMEDCT,276630006,Transient hypothyrotropinemia,,,
Encephalopathy,SNOMEDCT,95640005,Disorder of brain stem,,,
Encephalopathy,SNOMEDCT,230500006,Sleep-related dystonia,,,
Encephalopathy,SNOMEDCT,230521006,Optic radiation disorder,,,
Encephalopathy,SNOMEDCT,431971000124106,"Benign occipital epilepsy of childhood - late onset, non-refractory",,,
Encephalopathy,SNOMEDCT,300992002,Alcohol-induced cerebellar ataxia,,,
Encephalopathy,SNOMEDCT,230359004,Secondary amyloid encephalopathy,,,
Encephalopathy,SNOMEDCT,230365004,Neuroaxonal dystrophy,,,
Encephalopathy,SNOMEDCT,411461000000105,[X]Mental and behavioural disorders due to use of tobacco: withdrawal state,,,
Encephalopathy,SNOMEDCT,237676006,Lactotroph hyperplasia,,,
Encephalopathy,SNOMEDCT,77575005,Secondary hyperprolactinaemia due to prolactin-secreting tumour,,,
Encephalopathy,SNOMEDCT,231454003,Organic pseudopsychopathic personality,,,
Encephalopathy,SNOMEDCT,28368009,Psychoactive substance-induced organic hallucinosis,,,
Encephalopathy,SNOMEDCT,253135006,Defect of telencephalic division,,,
Encephalopathy,SNOMEDCT,231443008,Right hemispheric organic affective disorder,,,
Encephalopathy,SNOMEDCT,230324004,Isolated blepharospasm,,,
Encephalopathy,SNOMEDCT,68761002,Epileptic vertigo,,,
Encephalopathy,SNOMEDCT,308680003,Hypoglycaemia-induced convulsion,,,
Encephalopathy,SNOMEDCT,13847000,Partial seizure with impaired consciousness,,,
Encephalopathy,SNOMEDCT,78689005,Chronic brain syndrome,,,
Encephalopathy,SNOMEDCT,230455006,Self-induced non-photosensitive epilepsy,,,
Encephalopathy,SNOMEDCT,434501000124107,"Complex partial status epilepticus, refractory",,,
Encephalopathy,SNOMEDCT,21201006,Sporadic cerebellar degeneration,,,
Encephalopathy,SNOMEDCT,230186009,Primary amoebic encephalitis,,,
Encephalopathy,SNOMEDCT,57012007,Brain stem contusion with open intracranial wound AND brief loss of consciousness (less than one hour),,,
Encephalopathy,SNOMEDCT,95644001,Systemic lupus erythematosus encephalitis,,,
Encephalopathy,SNOMEDCT,143521000119103,Nontraumatic intraparenchymal cerebral hemorrhage,,,
Encephalopathy,SNOMEDCT,314783008,Pontine one and a half syndrome,,,
Encephalopathy,SNOMEDCT,302811004,Progressive congenital rubella encephalomyelitis,,,
Encephalopathy,SNOMEDCT,41222005,Brain stem laceration with open intracranial wound AND concussion,,,
Encephalopathy,SNOMEDCT,25185004,Cerebellar contusion with open intracranial wound AND no loss of consciousness,,,
Encephalopathy,SNOMEDCT,47450003,Brain injury without open intracranial wound AND with moderate loss of consciousness (1-24 hours),,,
Encephalopathy,SNOMEDCT,111671004,Intracranial hemorrhage following injury with open intracranial wound and prolonged loss of consciousness (more than 24 hours) without return to pre-existing level,,,
Encephalopathy,SNOMEDCT,230752005,Hydrocephalus due to cerebrospinal fluid absorption defect,,,
Encephalopathy,SNOMEDCT,230312006,Aicardi Goutieres syndrome,,,
Encephalopathy,SNOMEDCT,389100007,Ischaemic encephalopathy,,,
Encephalopathy,SNOMEDCT,191512001,"Subacute confusional state, of cerebrovascular origin",,,
Encephalopathy,SNOMEDCT,230327006,Edentulous orofacial dystonia,,,
Encephalopathy,SNOMEDCT,230748005,Intermittently raised pressure hydrocephalus,,,
Encephalopathy,SNOMEDCT,191504009,"Acute confusional state, of metabolic origin",,,
Encephalopathy,SNOMEDCT,431141000124100,"Myoclonic absence epilepsy, non-refractory",,,
Encephalopathy,SNOMEDCT,230238009,Progressive spinocerebellar ataxia with retained tendon reflexes,,,
Encephalopathy,SNOMEDCT,230241000,Secondary cerebellar degeneration,,,
Encephalopathy,SNOMEDCT,237733001,Diencephalic syndrome,,,
Encephalopathy,SNOMEDCT,90791004,Posthemiplegic ataxia,,,
Encephalopathy,SNOMEDCT,319331000009101,Nigropallidal encephalomalacia,,,
Encephalopathy,SNOMEDCT,432281000124107,"Tonic seizures, non-refractory",,,
Encephalopathy,SNOMEDCT,431471000124102,"Juvenile absence epilepsy, non-refractory",,,
Encephalopathy,SNOMEDCT,224186005,Cerebellar deficiency syndrome,,,
Encephalopathy,SNOMEDCT,77600008,Bing-Neel syndrome,,,
Encephalopathy,SNOMEDCT,191476005,Alcohol withdrawal hallucinosis,,,
Encephalopathy,SNOMEDCT,36217008,Organic personality disorder,,,
Encephalopathy,SNOMEDCT,56271007,Hypothermia-sweating syndrome,,,
Encephalopathy,SNOMEDCT,230433003,Isolated seizures,,,
Encephalopathy,SNOMEDCT,230808006,Brain ventricular shunt obstruction,,,
Encephalopathy,SNOMEDCT,230464001,Non-familial hemiplegic migraine,,,
Encephalopathy,SNOMEDCT,14055002,Hydrocephalus ex vacuo,,,
Encephalopathy,SNOMEDCT,434211000124108,"Grand mal status epilepticus, non-refractory",,,
Encephalopathy,SNOMEDCT,200076006,Spinal and epidural anaesthesia-induced headache during labour and delivery,,,
Encephalopathy,SNOMEDCT,421931005,Adult growth hormone deficiency with onset in childhood,,,
Encephalopathy,SNOMEDCT,275470000,Post-cardiorespiratory arrest coma,,,
Encephalopathy,SNOMEDCT,445322004,Migraine variant with headache,,,
Encephalopathy,SNOMEDCT,74810008,Premotor cortex syndrome,,,
Encephalopathy,SNOMEDCT,89476005,Pituitary cachexia,,,
Encephalopathy,SNOMEDCT,53194005,Posthemiplegic athetosis,,,
Encephalopathy,SNOMEDCT,82793005,Hypothalamic obesity,,,
Encephalopathy,SNOMEDCT,191505005,"Acute confusional state, of cerebrovascular origin",,,
Encephalopathy,SNOMEDCT,59103002,Cerebral paralysis with homolateral ataxia,,,
Encephalopathy,SNOMEDCT,408581000000109,[X]Extrapyramidal and movement disorders,,,
Encephalopathy,SNOMEDCT,253133004,Hydrocephalus with anomaly of aqueduct of Sylvius,,,
Encephalopathy,SNOMEDCT,42021008,Familial diabetes insipidus,,,
Encephalopathy,SNOMEDCT,192818008,Cerebral degeneration due to Creutzfeldt-Jakob disease,,,
Encephalopathy,SNOMEDCT,230319002,Autosomal dominant idiopathic familial dystonia,,,
Encephalopathy,SNOMEDCT,698621006,Closed fracture of base of skull with concussion,,,
Encephalopathy,SNOMEDCT,230360009,Encephalopathy due to radiation damage,,,
Encephalopathy,SNOMEDCT,128614008,Infectious disease of brain,,,
Encephalopathy,SNOMEDCT,127309004,Intracranial hemorrhage following injury with brief loss of consciousness,,,
Encephalopathy,SNOMEDCT,86182004,Extradural haemorrhage following injury with open intracranial wound AND prolonged loss of consciousness (more than 24 hours) without return to pre-existing conscious level,,,
Encephalopathy,SNOMEDCT,240464004,Rabies coma,,,
Encephalopathy,SNOMEDCT,127299008,Traumatic brain injury with brief loss of consciousness,,,
Encephalopathy,SNOMEDCT,95460007,Cerebellar infarction,,,
Encephalopathy,SNOMEDCT,30858001,Cerebellar laceration with open intracranial wound,,,
Encephalopathy,SNOMEDCT,703305006,Hypoxic ischemic encephalopathy due to cardiac arrest,,,
Encephalopathy,SNOMEDCT,76156000,Juvenile cerebellar degeneration AND myoclonus,,,
Encephalopathy,SNOMEDCT,434541000124109,"Benign childhood epilepsy with centrotemporal spikes, refractory",,,
Encephalopathy,SNOMEDCT,237670000,ACTH hypersecretion not causing Cushing's syndrome,,,
Encephalopathy,SNOMEDCT,7555003,Hagner's disease,,,
Encephalopathy,SNOMEDCT,237700006,Hypopituitarism due to iron overload,,,
Encephalopathy,SNOMEDCT,230524003,Injury of optic radiation,,,
Encephalopathy,SNOMEDCT,95646004,Cerebellar degeneration,,,
Encephalopathy,SNOMEDCT,13196008,Secondary diabetes insipidus,,,
Encephalopathy,SNOMEDCT,449902003,Portal systemic encephalopathy,,,
Encephalopathy,SNOMEDCT,237724003,Hypothalamic disorder of appetite,,,
Encephalopathy,SNOMEDCT,75046006,Combined pyramidal-extrapyramidal syndrome,,,
Encephalopathy,SNOMEDCT,35145002,Uremic encephalopathy,,,
Encephalopathy,SNOMEDCT,436771000124102,"Basilar artery migraine, refractory",,,
Encephalopathy,SNOMEDCT,62732009,Alien limb phenomenon,,,
Encephalopathy,SNOMEDCT,371114002,Seizures complicating intracranial haemorrhage,,,
Encephalopathy,SNOMEDCT,246541006,Simple partial onset of seizure with automatisms,,,
Encephalopathy,SNOMEDCT,276595007,Perinatal nonspecific brain dysfunction,,,
Encephalopathy,SNOMEDCT,40781006,Hypopituitarism due to pituitary tumour,,,
Encephalopathy,SNOMEDCT,19350004,Athetosis with rigidity,,,
Encephalopathy,SNOMEDCT,421455009,Episodic ataxia,,,
Encephalopathy,SNOMEDCT,230291001,Juvenile Parkinson's disease,,,
Encephalopathy,SNOMEDCT,237673003,FSH hypersecretion,,,
Encephalopathy,SNOMEDCT,438411000124101,"Myoclonic astatic epilepsy, refractory",,,
Encephalopathy,SNOMEDCT,230310003,Paroxysmal dystonia,,,
Encephalopathy,SNOMEDCT,70835005,Disorder of basal ganglia,,,
Encephalopathy,SNOMEDCT,230754006,Uncinate herniation,,,
Encephalopathy,SNOMEDCT,442161000124105,"Autosomal dominant nocturnal frontal lobe epilepsy, non-refractory",,,
Encephalopathy,SNOMEDCT,442151000124108,"Autosomal dominant nocturnal frontal lobe epilepsy, refractory",,,
Encephalopathy,SNOMEDCT,237667004,Lactation hyperprolactinaemia,,,
Encephalopathy,SNOMEDCT,230271008,Pick's disease with Pick bodies,,,
Encephalopathy,SNOMEDCT,249892007,Progressive pseudobulbar palsy,,,
Encephalopathy,SNOMEDCT,66881004,Choreoacanthocytosis,,,
Encephalopathy,SNOMEDCT,436051000124109,"Simple partial status epilepticus, non-refractory",,,
Encephalopathy,SNOMEDCT,230313001,Autosomal dominant late onset basal ganglia degeneration,,,
Encephalopathy,SNOMEDCT,416073003,Long duration flashbacks,,,
Encephalopathy,SNOMEDCT,83351003,Basilar migraine,,,
Encephalopathy,SNOMEDCT,410014007,Post-traumatic communicating hydrocephalus,,,
Encephalopathy,SNOMEDCT,43647007,Juvenile paralysis agitans of Hunt,,,
Encephalopathy,SNOMEDCT,22443004,Vestibulocerebellar ataxia,,,
Encephalopathy,SNOMEDCT,430061000124109,"Early myoclonic encephalopathy, refractory",,,
Encephalopathy,SNOMEDCT,230168006,Tensaw encephalitis,,,
Encephalopathy,SNOMEDCT,409556004,Q fever encephalitis,,,
Encephalopathy,SNOMEDCT,428635007,Primary viral encephalitis,,,
Encephalopathy,SNOMEDCT,276222004,Top of basilar syndrome,,,
Encephalopathy,SNOMEDCT,275362006,Falx laceration,,,
Encephalopathy,SNOMEDCT,87888006,Cortex contusion with open intracranial wound,,,
Encephalopathy,SNOMEDCT,209956005,Open traumatic subdural haemorrhage,,,
Encephalopathy,SNOMEDCT,23026001,Brain stem contusion with open intracranial wound AND moderate loss of consciousness (1-24 hours),,,
Encephalopathy,SNOMEDCT,84803006,Cerebellar laceration with open intracranial wound AND moderate loss of consciousness (1-24 hours),,,
Encephalopathy,SNOMEDCT,230144003,Chronic echovirus meningoencephalitis,,,
Encephalopathy,SNOMEDCT,190492009,Diencephalic syndrome secondary to tumor,,,
Encephalopathy,SNOMEDCT,50541007,Bruns' syndrome,,,
Encephalopathy,SNOMEDCT,312372003,Cerebral akinetopsia,,,
Encephalopathy,SNOMEDCT,4619009,Generalized-onset seizures,,,
Encephalopathy,SNOMEDCT,14521008,Visual seizure,,,
Encephalopathy,SNOMEDCT,371022006,Seizures due to metabolic disorder,,,
Encephalopathy,SNOMEDCT,436011000124108,"Petit mal status, refractory",,,
