Value Set Name,Code System,Code,Code Description
CT Scan,SNOMEDCT,444630003,"Computed tomography of head, neck, thorax, abdomen and pelvis with contrast"
CT Scan,SNOMEDCT,941741000000106,CT of cervical spine for radiotherapy planning
CT Scan,SNOMEDCT,440491000,CT guided biopsy of thorax
CT Scan,SNOMEDCT,858331000000101,PET using fluorodeoxyglucose with CT myocardial stress imaging
CT Scan,SNOMEDCT,829791000000107,CT guided insertion of fiducial marker into pancreas
CT Scan,SNOMEDCT,443638000,Single photon emission computed tomography with computed tomography of liver and spleen
CT Scan,SNOMEDCT,241524008,CT cisternography
CT Scan,SNOMEDCT,702430003,Computed tomography angiography of head and neck
CT Scan,SNOMEDCT,444633001,"Computed tomography of head, thorax and abdomen"
CT Scan,SNOMEDCT,433063003,CT maximum intensity projection study
CT Scan,SNOMEDCT,429853009,CT of toe
CT Scan,SNOMEDCT,702501008,CT of knee with contrast
CT Scan,SNOMEDCT,978861000000106,Positron emission tomography with computed tomography of brain using flutemetamol (18F)
CT Scan,SNOMEDCT,426730003,Computed tomography angiography of thorax
CT Scan,SNOMEDCT,443275001,Single photon emission computed tomography with computed tomography scintimammography
CT Scan,SNOMEDCT,430438005,CT of spine for radiotherapy planning
CT Scan,SNOMEDCT,305053005,CT of aorta
CT Scan,SNOMEDCT,839961000000102,CT arthrography of temporomandibular joint with contrast
CT Scan,SNOMEDCT,448343004,Computed tomography perfusion study of neck
CT Scan,SNOMEDCT,709654004,CT guided aspiration of cyst of kidney
CT Scan,SNOMEDCT,303698001,Special CT studies
CT Scan,SNOMEDCT,425501003,Computed tomography arteriogram of thorax
CT Scan,SNOMEDCT,702420007,Computed tomography of facial bones with contrast
CT Scan,SNOMEDCT,699586000,Positron emission tomography with computed tomography of liver using yttrium 90 microspheres
CT Scan,SNOMEDCT,241547009,Cardiac CT
CT Scan,SNOMEDCT,426707009,Computerised tomography of right ankle
CT Scan,SNOMEDCT,711352003,Puncture of cyst of kidney using computed tomography guidance
CT Scan,SNOMEDCT,839901000000101,CT arthrography of knee with contrast
CT Scan,SNOMEDCT,419520007,CT and aspiration of pelvis
CT Scan,SNOMEDCT,419233000,CT arthrography of temporomandibular joint
CT Scan,SNOMEDCT,438305004,Computed tomography dual phase study of liver
CT Scan,SNOMEDCT,241596004,CT discogram of lumbar region
CT Scan,SNOMEDCT,446224008,Computed tomography triple phase study of kidney
CT Scan,SNOMEDCT,702486003,Computed tomography of cervical and thoracic spine with contrast
CT Scan,SNOMEDCT,429856001,CT of prostate for radiotherapy planning
CT Scan,SNOMEDCT,710307008,CT guided biopsy of limb
CT Scan,SNOMEDCT,702502001,Computed tomography of lower limb with contrast
CT Scan,SNOMEDCT,241531007,CT submandibular gland
CT Scan,SNOMEDCT,430431004,CT of thumb
CT Scan,SNOMEDCT,709547001,CT of sacroiliac joint with contrast
CT Scan,SNOMEDCT,710073000,"CT angiography of head, neck and thorax"
CT Scan,SNOMEDCT,443299001,Single photon emission computed tomography using iodine 131 meta-iodobenzylguanidine with computed tomography
CT Scan,SNOMEDCT,418419008,Virtual CT bronchoscopy
CT Scan,SNOMEDCT,445959007,CT of cochlear implant
CT Scan,SNOMEDCT,702729009,Digital slit-beam radiograph of arm length
CT Scan,SNOMEDCT,339901000000104,CT angiography of renal artery and abdominal artery
CT Scan,SNOMEDCT,709768003,CT angiography of artery of limb
CT Scan,SNOMEDCT,419341002,CT guided biopsy of pelvis
CT Scan,SNOMEDCT,34227000,Computerized axial tomography of brain
CT Scan,SNOMEDCT,810071000000109,CT guided insertion of fiducial marker
CT Scan,SNOMEDCT,241545001,CT of brachial plexus
CT Scan,SNOMEDCT,448344005,CT perfusion study of pelvis
CT Scan,SNOMEDCT,941041000000109,CT of axilla for radiotherapy planning
CT Scan,SNOMEDCT,241550007,CT of adrenals
CT Scan,SNOMEDCT,418618007,CT of sacroiliac joints
CT Scan,SNOMEDCT,440331001,"Computed tomography of head, neck, thorax, abdomen and pelvis"
CT Scan,SNOMEDCT,241533005,CT parotid sialogram
CT Scan,SNOMEDCT,448676009,Computed tomography perfusion study of abdomen
CT Scan,SNOMEDCT,700505008,CT angiography of abdominal wall vessels
CT Scan,SNOMEDCT,303658003,CT of extracranial soft tissues of the head
CT Scan,SNOMEDCT,241537006,CT of thyroid
CT Scan,SNOMEDCT,702435008,CT angiography of neck vessels
CT Scan,SNOMEDCT,419673001,CT of facial bones
CT Scan,SNOMEDCT,430441001,CT of mediastinum with contrast
CT Scan,SNOMEDCT,709631008,CT guided biopsy of retroperitoneum
CT Scan,SNOMEDCT,445583005,"CT of head, thorax, abdomen and pelvis"
CT Scan,SNOMEDCT,702489005,CT of tibia and fibula
CT Scan,SNOMEDCT,709551004,CT guided nerve block
CT Scan,SNOMEDCT,702512008,Computed tomography of wrist with contrast
CT Scan,SNOMEDCT,709630009,CT guided biopsy of adrenal gland
CT Scan,SNOMEDCT,450436003,PET CT
CT Scan,SNOMEDCT,429925005,CT of forefoot
CT Scan,SNOMEDCT,418625000,CT and aspiration of neck
CT Scan,SNOMEDCT,241566009,CT of elbow
CT Scan,SNOMEDCT,811141000000107,CT of cochlea
CT Scan,SNOMEDCT,241526005,CT of paranasal sinuses
CT Scan,SNOMEDCT,303680000,CT of cardiovascular system
CT Scan,SNOMEDCT,941751000000109,CT of thoracic spine for radiotherapy planning
CT Scan,SNOMEDCT,241558000,CT uterus
CT Scan,SNOMEDCT,443276000,Single photon emission computed tomography with computed tomography technetium-99m hexamethylpropyleneamine oxime leukocyte scan
CT Scan,SNOMEDCT,418023006,"CT of chest, abdomen and pelvis"
CT Scan,SNOMEDCT,303662009,CT of intrathoracic structures
CT Scan,SNOMEDCT,431749009,CT guided aspiration
CT Scan,SNOMEDCT,419561007,CT of thoracolumbar spine
CT Scan,SNOMEDCT,444017003,Single photon emission computed tomography using iodine 131 with computed tomography of whole body
CT Scan,SNOMEDCT,702499000,Computed tomography of humerus
CT Scan,SNOMEDCT,942351000000101,CT of pelvis for brachytherapy planning
CT Scan,SNOMEDCT,700246004,CT of temporal bone with contrast
CT Scan,SNOMEDCT,169070004,CT of abdomen
CT Scan,SNOMEDCT,444708006,Computed tomography of head and thorax
CT Scan,SNOMEDCT,429931008,CT of kidney with contrast
CT Scan,SNOMEDCT,418332004,"CT of neck, thorax, abdomen and pelvis"
CT Scan,SNOMEDCT,396207002,Computerized axial tomography of brain with radiopaque contrast
CT Scan,SNOMEDCT,443383009,Single photon emission computed tomography using radiolabeled octreotide with computed tomography
CT Scan,SNOMEDCT,443368004,Single photon emission computed tomography with computed tomography ventriculography at cardiac rest
CT Scan,SNOMEDCT,241594001,CT discogram of cervical region
CT Scan,SNOMEDCT,314616004,Computed tomography guided aspiration of pancreatic lesion
CT Scan,SNOMEDCT,241582005,CT arthrogram
CT Scan,SNOMEDCT,303666007,CT of aortic aneurysm
CT Scan,SNOMEDCT,432371004,CT guided biopsy of bone
CT Scan,SNOMEDCT,443171000,Single photon emission computed tomography with computed tomography of entire skeleton
CT Scan,SNOMEDCT,709699007,CT of tooth
CT Scan,SNOMEDCT,473198008,Gated computed tomography of heart with contrast for congenital heart disease
CT Scan,SNOMEDCT,829811000000108,CT guided insertion of fiducial marker into spine
CT Scan,SNOMEDCT,429927002,CT of neck and thorax with contrast
CT Scan,SNOMEDCT,303694004,Special CT procedures of musculoskeletal system
CT Scan,SNOMEDCT,303687002,CT elbow region structure
CT Scan,SNOMEDCT,241581003,CT of sacral spine
CT Scan,SNOMEDCT,941761000000107,CT of thorax with contrast for radiotherapy planning
CT Scan,SNOMEDCT,443535005,Positron emission tomography using nitrogen 13 ammonia with computed tomography myocardial rest study
CT Scan,SNOMEDCT,448335009,CT of head and neck with contrast
CT Scan,SNOMEDCT,433761009,"CT of thorax, abdomen and pelvis with contrast"
CT Scan,SNOMEDCT,443145004,Single photon emission computed tomography with computed tomography of lung
CT Scan,SNOMEDCT,303686006,CT shoulder region structure
CT Scan,SNOMEDCT,241593007,CT discogram
CT Scan,SNOMEDCT,306728006,CT of nervous system
CT Scan,SNOMEDCT,839971000000109,CT arthrography of wrist with contrast
CT Scan,SNOMEDCT,169078006,Computerised cineangiography
CT Scan,SNOMEDCT,418863006,CT of biliary tract
CT Scan,SNOMEDCT,418581003,CT of floor of mouth
CT Scan,SNOMEDCT,278009009,Computed tomography guided removal of foreign body
CT Scan,SNOMEDCT,303695003,CT of back region
CT Scan,SNOMEDCT,438308002,Percutaneous aspiration of pancreas using computed tomography guidance
CT Scan,SNOMEDCT,431619004,CT of base of skull with contrast
CT Scan,SNOMEDCT,241520004,CT of orbits
CT Scan,SNOMEDCT,241539009,CT of breast
CT Scan,SNOMEDCT,56712007,"Computerised tomography, multi-plane"
CT Scan,SNOMEDCT,241576007,CT of foot
CT Scan,SNOMEDCT,710301009,CT arthrography of upper limb
CT Scan,SNOMEDCT,443844003,Positron emission tomography with computed tomography of whole body for neoplasm uptake of methionine
CT Scan,SNOMEDCT,427061007,Computerized tomography of both ankles
CT Scan,SNOMEDCT,839921000000105,CT arthrography of metatarsophalangeal joint with contrast
CT Scan,SNOMEDCT,772821000000105,Gated CT for complex congenital heart disease with contrast
CT Scan,SNOMEDCT,429851006,CT of thorax for radiotherapy planning
CT Scan,SNOMEDCT,447974008,Single photon emission computed tomography with computed tomography of sentinel lymph node
CT Scan,SNOMEDCT,241600009,CT pelvimetry
CT Scan,SNOMEDCT,303667003,Dissection protocol CT
CT Scan,SNOMEDCT,418749009,CT and biopsy of liver
CT Scan,SNOMEDCT,710794006,CT of feeding tube
CT Scan,SNOMEDCT,702492009,Computed tomography of calcaneum with contrast
CT Scan,SNOMEDCT,431621009,CT of forearm with contrast
CT Scan,SNOMEDCT,443306003,Single photon emission computed tomography using iodine 123 with computed tomography of whole body
CT Scan,SNOMEDCT,836081000000104,CT guided insertion of fiducial marker into pelvis
CT Scan,SNOMEDCT,418046008,CT and aspiration of upper abdomen
CT Scan,SNOMEDCT,241561004,CT bony pelvis
CT Scan,SNOMEDCT,241577003,CT of spine
CT Scan,SNOMEDCT,711310008,CT of sinus of abdomen with contrast
CT Scan,SNOMEDCT,942071000000108,CT of lower leg for radiotherapy planning
CT Scan,SNOMEDCT,429855002,CT guided skin marking
CT Scan,SNOMEDCT,419638003,CT arthrography of metacarpophalangeal joint
CT Scan,SNOMEDCT,811261000000101,CT sinogram of abdomen
CT Scan,SNOMEDCT,702760009,Computed tomography of head and sinuses
CT Scan,SNOMEDCT,444674001,"CT of head, thorax, abdomen and pelvis with contrast"
CT Scan,SNOMEDCT,303655000,CT of bone structures and cavities of the head
CT Scan,SNOMEDCT,702491002,Computed tomography of ankle with contrast
CT Scan,SNOMEDCT,14211004,CT guidance for needle biopsy
CT Scan,SNOMEDCT,429874005,CT of sternum
CT Scan,SNOMEDCT,420036006,CT guided biopsy of neck
CT Scan,SNOMEDCT,241519005,CT of pituitary fossa
CT Scan,SNOMEDCT,702514009,"Computed tomography of abdomen, pelvis and lumbar spine with contrast"
CT Scan,SNOMEDCT,241528006,CT of temporomandibular joints
CT Scan,SNOMEDCT,429859008,CT of whole spine with contrast
CT Scan,SNOMEDCT,169067003,CT of face
CT Scan,SNOMEDCT,430451000,CT of coccyx
CT Scan,SNOMEDCT,241580002,CT of lumbar spine
CT Scan,SNOMEDCT,979051000000107,Positron emission tomography with computed tomography gallium 68 dotatoc whole body uptake study
CT Scan,SNOMEDCT,431746002,CT of upper arm with contrast
CT Scan,SNOMEDCT,2370001000004100,Drainage of abscess using computed tomography guidance
CT Scan,SNOMEDCT,432665004,CT of scapula
CT Scan,SNOMEDCT,438590003,Computed tomography of submandibular area with contrast
CT Scan,SNOMEDCT,955611000000104,Single photon emission computed tomography using dimercaptosuccinic acid with computed tomography of kidney with contrast
CT Scan,SNOMEDCT,241579000,CT of thoracic spine
CT Scan,SNOMEDCT,429866009,CT of breast for radiotherapy planning
CT Scan,SNOMEDCT,709766004,CT of axilla with contrast
CT Scan,SNOMEDCT,702488002,Computed tomography of thoracic and lumbar spine with contrast
CT Scan,SNOMEDCT,711425007,CT of sinus of abdomen and pelvis
CT Scan,SNOMEDCT,942251000000109,CT of head and neck for radiotherapy planning
CT Scan,SNOMEDCT,418659001,CT angiography of cerebral artery
CT Scan,SNOMEDCT,699584002,Post mortem computed tomography
CT Scan,SNOMEDCT,432841000,CT venography of cerebral vein
CT Scan,SNOMEDCT,911791000000106,CT guided biopsy of transplanted liver
CT Scan,SNOMEDCT,396209004,Computerised axial tomography of brain with and without radiopaque contrast
CT Scan,SNOMEDCT,839861000000108,CT arthrography of ankle with contrast
CT Scan,SNOMEDCT,942211000000105,CT of abdomen for radiotherapy planning
CT Scan,SNOMEDCT,859191000000107,SPECT CT of liver using technetium 99m macroaggregated albumin
CT Scan,SNOMEDCT,241578008,CT of cervical spine
CT Scan,SNOMEDCT,702515005,Computed tomography of cervical and lumbar spine
CT Scan,SNOMEDCT,443127004,Single photon emission computed tomography using thallium with computed tomography of brain
CT Scan,SNOMEDCT,443701005,Single photon emission computed tomography using technetium 99m labelled sulesomab with computed tomography
CT Scan,SNOMEDCT,448770008,Computed tomography of mandible and maxilla
CT Scan,SNOMEDCT,241568005,CT of wrist
CT Scan,SNOMEDCT,430432006,CT of thigh with contrast
CT Scan,SNOMEDCT,978851000000108,Positron emission tomography with computed tomography of brain using florbetaben (18F)
CT Scan,SNOMEDCT,912371000000102,CT portal venography of abdomen and pelvis
CT Scan,SNOMEDCT,241529003,CT of salivary glands
CT Scan,SNOMEDCT,396205005,Computerised axial tomography of brain without radiopaque contrast
CT Scan,SNOMEDCT,710791003,CT guided puncture and aspiration
CT Scan,SNOMEDCT,315941000000105,CT of chest with high resolution
CT Scan,SNOMEDCT,399331006,Computed tomography without contrast
CT Scan,SNOMEDCT,443235009,Single photon emission computed tomography with computed tomography indium 111 leucocyte study
CT Scan,SNOMEDCT,710305000,CT angiography of pelvis and lower limb with contrast
CT Scan,SNOMEDCT,430194000,CT of pelvis for radiotherapy planning
CT Scan,SNOMEDCT,419976007,CT of sternoclavicular joint
CT Scan,SNOMEDCT,702516006,Computed tomography of cervical and lumbar spine with contrast
CT Scan,SNOMEDCT,858321000000103,PET CT fluorodeoxyglucose imaging of head and neck
CT Scan,SNOMEDCT,702521009,CT of lumbar spine and pelvis
CT Scan,SNOMEDCT,443128009,Single photon emission computed tomography with computed tomography of femur
CT Scan,SNOMEDCT,433111008,CT brain perfusion study
CT Scan,SNOMEDCT,449327000,CT guided aspiration of intervertebral disc
CT Scan,SNOMEDCT,444758004,"CT of head, thorax and abdomen with contrast"
CT Scan,SNOMEDCT,942221000000104,CT of abdomen for radiotherapy planning with contrast
CT Scan,SNOMEDCT,432779000,CT dacryocystography
CT Scan,SNOMEDCT,709787009,CT guided thoracentesis
CT Scan,SNOMEDCT,432642009,CT arthrography of midtarsal joint
CT Scan,SNOMEDCT,431214001,CT enteroclysis
CT Scan,SNOMEDCT,702519004,Computed tomography of head and facial bones
CT Scan,SNOMEDCT,277591006,Computed tomography guided biopsy
CT Scan,SNOMEDCT,913191000000106,CT of transplanted small intestine
CT Scan,SNOMEDCT,356221000000109,CT of whole aorta
CT Scan,SNOMEDCT,702496007,Computed tomography of femur
CT Scan,SNOMEDCT,703139003,Computed tomography of lower limb for arthroplasty planning
CT Scan,SNOMEDCT,442796002,Needle biopsy of superficial lymph node using computed tomography guidance
CT Scan,SNOMEDCT,443580006,Single photon emission computed tomography with computed tomography of bone of lumbar spine
CT Scan,SNOMEDCT,438820000,Biopsy of kidney using computed tomography guidance
CT Scan,SNOMEDCT,13518004,Computerised tomography without IV contrast followed by IV contrast and more sections
CT Scan,SNOMEDCT,709553001,CT angiography of mesenteric artery
CT Scan,SNOMEDCT,439538003,Percutaneous aspiration of pelvis using computed tomography guidance
CT Scan,SNOMEDCT,443366000,Single photon emission computed tomography with computed tomography of bone of knee
CT Scan,SNOMEDCT,241572009,CT of thigh
CT Scan,SNOMEDCT,418787001,CT and biopsy of chest
CT Scan,SNOMEDCT,432842007,CT venography of intracranial vein
CT Scan,SNOMEDCT,429867000,CT of head for radiotherapy planning
CT Scan,SNOMEDCT,443267007,Single photon emission computed tomography using dimercaptosuccinic acid with computed tomography of kidney
CT Scan,SNOMEDCT,710300005,CT arthrography of lower limb
CT Scan,SNOMEDCT,241597008,Digital slit-beam radiograph
CT Scan,SNOMEDCT,942061000000101,CT of oesophagus with contrast for radiotherapy planning
CT Scan,SNOMEDCT,709665009,CT of stomach
CT Scan,SNOMEDCT,419084009,CT of urinary tract
CT Scan,SNOMEDCT,979061000000105,Positron emission tomography with computed tomography gallium 68 dotanoc whole body uptake study
CT Scan,SNOMEDCT,303682008,CT of upper limb region structure
CT Scan,SNOMEDCT,443628005,Positron emission tomography using rubidium 81 with computed tomography myocardial rest imaging
CT Scan,SNOMEDCT,438591004,Computed tomography triple phase study of liver
CT Scan,SNOMEDCT,443579008,Radionuclide imaging with computed tomography attenuation correction
CT Scan,SNOMEDCT,113090004,CT with intravenous contrast
CT Scan,SNOMEDCT,443601000,CT for measurement of brain volume
CT Scan,SNOMEDCT,448677000,CT perfusion study of liver
CT Scan,SNOMEDCT,241521000,CT of internal auditory meatus
CT Scan,SNOMEDCT,419089004,CT angiography of lower limb artery
CT Scan,SNOMEDCT,442973008,Fine needle aspiration biopsy using computed tomography guidance
CT Scan,SNOMEDCT,443940008,Single photon emission computed tomography using iodine 123 meta-iodobenzylguanidine with computed tomography
CT Scan,SNOMEDCT,859221000000100,SPECT CT of whole body
CT Scan,SNOMEDCT,912331000000104,CT triple phase study of abdomen and pelvis with contrast
CT Scan,SNOMEDCT,431190000,Respiratory and electrocardiography gated cardiac computed tomography of heart
CT Scan,SNOMEDCT,431944009,CT with contrast enema
CT Scan,SNOMEDCT,839931000000107,CT arthrography of midtarsal joint with contrast
CT Scan,SNOMEDCT,303653007,CT of head
CT Scan,SNOMEDCT,241552004,CT of spleen
CT Scan,SNOMEDCT,429877003,CT of neck for radiotherapy planning
CT Scan,SNOMEDCT,82641000,"Computerized tomography, coronal"
CT Scan,SNOMEDCT,303663004,CT of thoracic skeleton
CT Scan,SNOMEDCT,942161000000100,CT of thigh for radiotherapy planning
CT Scan,SNOMEDCT,444709003,Computed tomography of head and thorax with contrast
CT Scan,SNOMEDCT,429923003,CT of urinary bladder for radiotherapy planning
CT Scan,SNOMEDCT,709635004,CT guided biopsy of neck with contrast
CT Scan,SNOMEDCT,438306003,CT of submandibular area
CT Scan,SNOMEDCT,702525000,CT guided biopsy of upper limb
CT Scan,SNOMEDCT,303677001,CT of male pelvic organs
CT Scan,SNOMEDCT,419256009,CT of cervicothoracic spine
CT Scan,SNOMEDCT,702647009,CT of hand with contrast
CT Scan,SNOMEDCT,241557005,CT prostate
CT Scan,SNOMEDCT,431247005,CT of nasopharynx with contrast
CT Scan,SNOMEDCT,258176004,Computerised tomography guidance
CT Scan,SNOMEDCT,429858000,CT of head and neck
CT Scan,SNOMEDCT,702507007,Computed tomography of sternum with contrast
CT Scan,SNOMEDCT,709633006,CT guided biopsy of peritoneum
CT Scan,SNOMEDCT,303688007,CT wrist region structure
CT Scan,SNOMEDCT,440497001,Percutaneous aspiration of thorax using computed tomography guidance
CT Scan,SNOMEDCT,431666000,CT of metatarsus
CT Scan,SNOMEDCT,941471000000107,CT of urinary bladder with contrast for radiotherapy planning
CT Scan,SNOMEDCT,241595000,CT discogram of thoracic region
CT Scan,SNOMEDCT,440513001,Computed tomography angiography of subclavian artery
CT Scan,SNOMEDCT,432771002,CT sinogram
CT Scan,SNOMEDCT,303668008,CT of intrathoracic respiratory structures
CT Scan,SNOMEDCT,241536002,CT of larynx
CT Scan,SNOMEDCT,430434007,CT guided stent insertion
CT Scan,SNOMEDCT,241554003,CT arterioportography
CT Scan,SNOMEDCT,420102002,CT of upper abdomen
CT Scan,SNOMEDCT,241584006,CT arthrogram of elbow
CT Scan,SNOMEDCT,702762001,CT of head and orbits
CT Scan,SNOMEDCT,241546000,CT of thoracic inlet
CT Scan,SNOMEDCT,839941000000103,CT arthrography of subtalar joint with contrast
CT Scan,SNOMEDCT,169071000,CT of pelvis
CT Scan,SNOMEDCT,702761008,Computed tomography of head and sella turcica
CT Scan,SNOMEDCT,702763006,Computed tomography of head and orbits with contrast
CT Scan,SNOMEDCT,420027007,CT and biopsy of pancreas
CT Scan,SNOMEDCT,443473006,Positron emission tomography with computed tomography carbon 11 choline uptake study
CT Scan,SNOMEDCT,241573004,CT of knee
CT Scan,SNOMEDCT,942421000000103,CT of prostate for brachytherapy planning
CT Scan,SNOMEDCT,241559008,CT ovary
CT Scan,SNOMEDCT,702493004,CT of clavicle with contrast
CT Scan,SNOMEDCT,712541008,CT of nasal bone with contrast
CT Scan,SNOMEDCT,702483006,Biopsy of lower limb using computed tomography guidance
CT Scan,SNOMEDCT,427052007,Computed tomography of bone
CT Scan,SNOMEDCT,702490001,Computed tomography of tibia and fibula with contrast
CT Scan,SNOMEDCT,443236005,Single photon emission computed tomography with computed tomography of parathyroid
CT Scan,SNOMEDCT,443774001,Single photon emission computed tomography with computed tomography of neoplasm
CT Scan,SNOMEDCT,241575006,CT of ankle
CT Scan,SNOMEDCT,418029005,CT arthrography of metatarsophalangeal joint
CT Scan,SNOMEDCT,702484000,Biopsy of head using computed tomography guidance
CT Scan,SNOMEDCT,942261000000107,CT of head and neck with contrast for radiotherapy planning
CT Scan,SNOMEDCT,429854003,CT of shoulder with contrast
CT Scan,SNOMEDCT,429863001,CT of parotid gland with contrast
CT Scan,SNOMEDCT,241523002,CT stereotactic localisation
CT Scan,SNOMEDCT,419995000,CT cholangiogram
CT Scan,SNOMEDCT,303681001,CT of limb regions
CT Scan,SNOMEDCT,443170004,Single photon emission computed tomography with computed tomography of brain perfusion
CT Scan,SNOMEDCT,241569002,CT of hand
CT Scan,SNOMEDCT,432905004,CT of liver and portal vein
CT Scan,SNOMEDCT,858281000000106,CT of entire skeleton
CT Scan,SNOMEDCT,72716007,Computerized tomography for guidance-localization
CT Scan,SNOMEDCT,444628000,"Computed tomography of head, abdomen and pelvis with contrast"
CT Scan,SNOMEDCT,429873004,CT of pancreas with contrast
CT Scan,SNOMEDCT,710304001,CT angiography of pelvis and lower limb
CT Scan,SNOMEDCT,241541005,High resolution CT of lungs
CT Scan,SNOMEDCT,444796003,Core needle biopsy using computed tomography guidance
CT Scan,SNOMEDCT,699587009,Positron emission tomography using 11c-metomidate with computed tomography
CT Scan,SNOMEDCT,408754009,CT of entire head
CT Scan,SNOMEDCT,9704004,"Computerized tomography, limited studies"
CT Scan,SNOMEDCT,431676002,Computed tomography venography
CT Scan,SNOMEDCT,419225001,CT angiography of pulmonary artery
CT Scan,SNOMEDCT,419394006,CT of abdomen and pelvis
CT Scan,SNOMEDCT,431714002,CT of face with contrast
CT Scan,SNOMEDCT,709550003,CT of esophagus
CT Scan,SNOMEDCT,711232001,CT of head with contrast
CT Scan,SNOMEDCT,443595008,Single photon emission computed tomography with computed tomography of bone of wrist
CT Scan,SNOMEDCT,844031000000106,CT guided insertion of fiducial marker into chest
CT Scan,SNOMEDCT,241522007,CT of petrous bones
CT Scan,SNOMEDCT,169072007,CAT scan - whole body
CT Scan,SNOMEDCT,418272005,CT angiography
CT Scan,SNOMEDCT,446834007,Computed tomography of oropharynx
CT Scan,SNOMEDCT,974801000000101,"CT of head, neck, abdomen and pelvis"
CT Scan,SNOMEDCT,911841000000108,Four dimensional CT angiography of cerebrum
CT Scan,SNOMEDCT,277582007,Percutaneous computer tomography guided aspiration
CT Scan,SNOMEDCT,702500009,Computed tomography of humerus with contrast
CT Scan,SNOMEDCT,419077001,CT of peripheral vessels
CT Scan,SNOMEDCT,430447002,CT radiotherapy planning scan
CT Scan,SNOMEDCT,836431000000108,CT of tube with contrast
CT Scan,SNOMEDCT,432644005,CT of floor of mouth with contrast
CT Scan,SNOMEDCT,419925009,CT arthrography of subtalar joint
CT Scan,SNOMEDCT,443632004,Positron emission tomography with computed tomography gallium 68 dotatate whole body uptake study
CT Scan,SNOMEDCT,303664005,Special CT procedures of the thoracic region
CT Scan,SNOMEDCT,241544002,CT of axilla
CT Scan,SNOMEDCT,979021000000102,Positron emission tomography with computed tomography gallium 68 prostate specific membrane antigen whole body uptake study
CT Scan,SNOMEDCT,241574005,CT of lower leg
CT Scan,SNOMEDCT,711371001,Gated computed tomography for cardiac function with contrast
CT Scan,SNOMEDCT,702523007,Computed tomography of lumbar spine and sacroiliac joints
CT Scan,SNOMEDCT,413901008,"CT of elbow, left"
CT Scan,SNOMEDCT,443126008,Positron emission tomography with computed tomography carbon 11 choline whole body uptake study
CT Scan,SNOMEDCT,431997003,CT of larynx with contrast
CT Scan,SNOMEDCT,241542003,CT of lungs with diagnostic pneumothorax
CT Scan,SNOMEDCT,444969006,CT of entire aorta with contrast
CT Scan,SNOMEDCT,912341000000108,CT angiography of thorax and abdomen
CT Scan,SNOMEDCT,443214007,Positron emission tomography with computed tomography fluorine 18 choline whole body uptake study
CT Scan,SNOMEDCT,169066007,CT of skull
CT Scan,SNOMEDCT,417986000,CT guided angiography of carotid artery
CT Scan,SNOMEDCT,241549007,CT of liver
