code_type,code_value,description,hcc_id
ICD10CM,P36.0,"Sepsis of newborn due to streptococcus, group B",2
ICD10CM,P36.10,Sepsis of newborn due to unspecified streptococci,2
ICD10CM,P36.19,Sepsis of newborn due to other streptococci,2
ICD10CM,P36.2,Sepsis of newborn due to Staphylococcus aureus,2
ICD10CM,P36.30,Sepsis of newborn due to unspecified staphylococci,2
ICD10CM,P36.39,Sepsis of newborn due to other staphylococci,2
ICD10CM,P36.4,Sepsis of newborn due to Escherichia coli,2
ICD10CM,P36.5,Sepsis of newborn due to anaerobes,2
ICD10CM,P36.8,Other bacterial sepsis of newborn,2
ICD10CM,P36.9,"Bacterial sepsis of newborn, unspecified",2
ICD10CM,R57.1,Hypovolemic shock,2
ICD10CM,R57.8,Other shock,2
ICD10CM,R65.10,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction,2
ICD10CM,R65.11,Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction,2
ICD10CM,R65.20,Severe sepsis without septic shock,2
ICD10CM,R65.21,Severe sepsis with septic shock,2
ICD10CM,T81.12XA,"Postprocedural septic shock, initial encounter",2
ICD10CM,A07.2,Cryptosporidiosis,6
ICD10CM,A31.0,Pulmonary mycobacterial infection,6
ICD10CM,A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),6
ICD10CM,B25.0,Cytomegaloviral pneumonitis,6
ICD10CM,B25.1,Cytomegaloviral hepatitis,6
ICD10CM,B25.2,Cytomegaloviral pancreatitis,6
ICD10CM,B25.8,Other cytomegaloviral diseases,6
ICD10CM,B25.9,"Cytomegaloviral disease, unspecified",6
ICD10CM,B37.1,Pulmonary candidiasis,6
ICD10CM,B37.7,Candidal sepsis,6
ICD10CM,B37.81,Candidal esophagitis,6
ICD10CM,B44.0,Invasive pulmonary aspergillosis,6
ICD10CM,B44.1,Other pulmonary aspergillosis,6
ICD10CM,B44.2,Tonsillar aspergillosis,6
ICD10CM,B44.7,Disseminated aspergillosis,6
ICD10CM,B44.89,Other forms of aspergillosis,6
ICD10CM,B44.9,"Aspergillosis, unspecified",6
ICD10CM,B45.0,Pulmonary cryptococcosis,6
ICD10CM,B45.1,Cerebral cryptococcosis,6
ICD10CM,B45.2,Cutaneous cryptococcosis,6
ICD10CM,B45.3,Osseous cryptococcosis,6
ICD10CM,B45.7,Disseminated cryptococcosis,6
ICD10CM,B45.8,Other forms of cryptococcosis,6
ICD10CM,B45.9,"Cryptococcosis, unspecified",6
ICD10CM,B46.0,Pulmonary mucormycosis,6
ICD10CM,B46.1,Rhinocerebral mucormycosis,6
ICD10CM,B46.2,Gastrointestinal mucormycosis,6
ICD10CM,B46.3,Cutaneous mucormycosis,6
ICD10CM,B46.4,Disseminated mucormycosis,6
ICD10CM,B46.5,"Mucormycosis, unspecified",6
ICD10CM,B46.8,Other zygomycoses,6
ICD10CM,B46.9,"Zygomycosis, unspecified",6
ICD10CM,B48.4,Penicillosis,6
ICD10CM,B48.8,Other specified mycoses,6
ICD10CM,B58.2,Toxoplasma meningoencephalitis,6
ICD10CM,B58.3,Pulmonary toxoplasmosis,6
ICD10CM,B59,Pneumocystosis,6
ICD10CM,C77.0,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",8
ICD10CM,C77.1,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,8
ICD10CM,C77.2,Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,8
ICD10CM,C77.4,Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes,8
ICD10CM,C77.5,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes,8
ICD10CM,C77.8,Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions,8
ICD10CM,C78.00,Secondary malignant neoplasm of unspecified lung,8
ICD10CM,C78.01,Secondary malignant neoplasm of right lung,8
ICD10CM,C78.02,Secondary malignant neoplasm of left lung,8
ICD10CM,C78.1,Secondary malignant neoplasm of mediastinum,8
ICD10CM,C78.2,Secondary malignant neoplasm of pleura,8
ICD10CM,C78.30,Secondary malignant neoplasm of unspecified respiratory organ,8
ICD10CM,C78.39,Secondary malignant neoplasm of other respiratory organs,8
ICD10CM,C78.4,Secondary malignant neoplasm of small intestine,8
ICD10CM,C78.5,Secondary malignant neoplasm of large intestine and rectum,8
ICD10CM,C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,8
ICD10CM,C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,8
ICD10CM,C78.80,Secondary malignant neoplasm of unspecified digestive organ,8
ICD10CM,C78.89,Secondary malignant neoplasm of other digestive organs,8
ICD10CM,C79.00,Secondary malignant neoplasm of unspecified kidney and renal pelvis,8
ICD10CM,C79.01,Secondary malignant neoplasm of right kidney and renal pelvis,8
ICD10CM,C79.02,Secondary malignant neoplasm of left kidney and renal pelvis,8
ICD10CM,C79.10,Secondary malignant neoplasm of unspecified urinary organs,8
ICD10CM,C79.11,Secondary malignant neoplasm of bladder,8
ICD10CM,C79.19,Secondary malignant neoplasm of other urinary organs,8
ICD10CM,C79.31,Secondary malignant neoplasm of brain,8
ICD10CM,C79.32,Secondary malignant neoplasm of cerebral meninges,8
ICD10CM,C79.40,Secondary malignant neoplasm of unspecified part of nervous system,8
ICD10CM,C79.49,Secondary malignant neoplasm of other parts of nervous system,8
ICD10CM,C79.51,Secondary malignant neoplasm of bone,8
ICD10CM,C79.52,Secondary malignant neoplasm of bone marrow,8
ICD10CM,C79.60,Secondary malignant neoplasm of unspecified ovary,8
ICD10CM,C79.61,Secondary malignant neoplasm of right ovary,8
ICD10CM,C79.62,Secondary malignant neoplasm of left ovary,8
ICD10CM,C79.70,Secondary malignant neoplasm of unspecified adrenal gland,8
ICD10CM,C79.71,Secondary malignant neoplasm of right adrenal gland,8
ICD10CM,C79.72,Secondary malignant neoplasm of left adrenal gland,8
ICD10CM,C79.89,Secondary malignant neoplasm of other specified sites,8
ICD10CM,C79.9,Secondary malignant neoplasm of unspecified site,8
ICD10CM,C7B.00,"Secondary carcinoid tumors, unspecified site",8
ICD10CM,C7B.01,Secondary carcinoid tumors of distant lymph nodes,8
ICD10CM,C7B.02,Secondary carcinoid tumors of liver,8
ICD10CM,C7B.03,Secondary carcinoid tumors of bone,8
ICD10CM,C7B.04,Secondary carcinoid tumors of peritoneum,8
ICD10CM,C7B.09,Secondary carcinoid tumors of other sites,8
ICD10CM,C7B.1,Secondary Merkel cell carcinoma,8
ICD10CM,C7B.8,Other secondary neuroendocrine tumors,8
ICD10CM,C80.0,"Disseminated malignant neoplasm, unspecified",8
ICD10CM,C91.00,Acute lymphoblastic leukemia not having achieved remission,8
ICD10CM,C91.01,"Acute lymphoblastic leukemia, in remission",8
ICD10CM,C91.02,"Acute lymphoblastic leukemia, in relapse",8
ICD10CM,C92.00,"Acute myeloblastic leukemia, not having achieved remission",8
ICD10CM,C92.01,"Acute myeloblastic leukemia, in remission",8
ICD10CM,C92.02,"Acute myeloblastic leukemia, in relapse",8
ICD10CM,C92.40,"Acute promyelocytic leukemia, not having achieved remission",8
ICD10CM,C92.41,"Acute promyelocytic leukemia, in remission",8
ICD10CM,C92.42,"Acute promyelocytic leukemia, in relapse",8
ICD10CM,C92.50,"Acute myelomonocytic leukemia, not having achieved remission",8
ICD10CM,C92.51,"Acute myelomonocytic leukemia, in remission",8
ICD10CM,C92.52,"Acute myelomonocytic leukemia, in relapse",8
ICD10CM,C92.60,Acute myeloid leukemia with 11q23-abnormality not having achieved remission,8
ICD10CM,C92.61,Acute myeloid leukemia with 11q23-abnormality in remission,8
ICD10CM,C92.62,Acute myeloid leukemia with 11q23-abnormality in relapse,8
ICD10CM,C92.A0,"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",8
ICD10CM,C92.A1,"Acute myeloid leukemia with multilineage dysplasia, in remission",8
ICD10CM,C92.A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse",8
ICD10CM,C93.00,"Acute monoblastic/monocytic leukemia, not having achieved remission",8
ICD10CM,C93.01,"Acute monoblastic/monocytic leukemia, in remission",8
ICD10CM,C93.02,"Acute monoblastic/monocytic leukemia, in relapse",8
ICD10CM,C94.00,"Acute erythroid leukemia, not having achieved remission",8
ICD10CM,C94.01,"Acute erythroid leukemia, in remission",8
ICD10CM,C94.02,"Acute erythroid leukemia, in relapse",8
ICD10CM,C94.20,Acute megakaryoblastic leukemia not having achieved remission,8
ICD10CM,C94.21,"Acute megakaryoblastic leukemia, in remission",8
ICD10CM,C94.22,"Acute megakaryoblastic leukemia, in relapse",8
ICD10CM,C94.40,Acute panmyelosis with myelofibrosis not having achieved remission,8
ICD10CM,C94.41,"Acute panmyelosis with myelofibrosis, in remission",8
ICD10CM,C94.42,"Acute panmyelosis with myelofibrosis, in relapse",8
ICD10CM,C95.00,Acute leukemia of unspecified cell type not having achieved remission,8
ICD10CM,C95.01,"Acute leukemia of unspecified cell type, in remission",8
ICD10CM,C95.02,"Acute leukemia of unspecified cell type, in relapse",8
ICD10CM,C15.3,Malignant neoplasm of upper third of esophagus,9
ICD10CM,C15.4,Malignant neoplasm of middle third of esophagus,9
ICD10CM,C15.5,Malignant neoplasm of lower third of esophagus,9
ICD10CM,C15.8,Malignant neoplasm of overlapping sites of esophagus,9
ICD10CM,C15.9,"Malignant neoplasm of esophagus, unspecified",9
ICD10CM,C16.0,Malignant neoplasm of cardia,9
ICD10CM,C16.1,Malignant neoplasm of fundus of stomach,9
ICD10CM,C16.2,Malignant neoplasm of body of stomach,9
ICD10CM,C16.3,Malignant neoplasm of pyloric antrum,9
ICD10CM,C16.4,Malignant neoplasm of pylorus,9
ICD10CM,C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",9
ICD10CM,C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",9
ICD10CM,C16.8,Malignant neoplasm of overlapping sites of stomach,9
ICD10CM,C16.9,"Malignant neoplasm of stomach, unspecified",9
ICD10CM,C17.0,Malignant neoplasm of duodenum,9
ICD10CM,C17.1,Malignant neoplasm of jejunum,9
ICD10CM,C17.2,Malignant neoplasm of ileum,9
ICD10CM,C17.3,"Meckel's diverticulum, malignant",9
ICD10CM,C17.8,Malignant neoplasm of overlapping sites of small intestine,9
ICD10CM,C17.9,"Malignant neoplasm of small intestine, unspecified",9
ICD10CM,C22.0,Liver cell carcinoma,9
ICD10CM,C22.1,Intrahepatic bile duct carcinoma,9
ICD10CM,C22.2,Hepatoblastoma,9
ICD10CM,C22.3,Angiosarcoma of liver,9
ICD10CM,C22.4,Other sarcomas of liver,9
ICD10CM,C22.7,Other specified carcinomas of liver,9
ICD10CM,C22.8,"Malignant neoplasm of liver, primary, unspecified as to type",9
ICD10CM,C22.9,"Malignant neoplasm of liver, not specified as primary or secondary",9
ICD10CM,C23,Malignant neoplasm of gallbladder,9
ICD10CM,C24.0,Malignant neoplasm of extrahepatic bile duct,9
ICD10CM,C24.1,Malignant neoplasm of ampulla of Vater,9
ICD10CM,C24.8,Malignant neoplasm of overlapping sites of biliary tract,9
ICD10CM,C24.9,"Malignant neoplasm of biliary tract, unspecified",9
ICD10CM,C25.0,Malignant neoplasm of head of pancreas,9
ICD10CM,C25.1,Malignant neoplasm of body of pancreas,9
ICD10CM,C25.2,Malignant neoplasm of tail of pancreas,9
ICD10CM,C25.3,Malignant neoplasm of pancreatic duct,9
ICD10CM,C25.4,Malignant neoplasm of endocrine pancreas,9
ICD10CM,C25.7,Malignant neoplasm of other parts of pancreas,9
ICD10CM,C25.8,Malignant neoplasm of overlapping sites of pancreas,9
ICD10CM,C25.9,"Malignant neoplasm of pancreas, unspecified",9
ICD10CM,C33,Malignant neoplasm of trachea,9
ICD10CM,C34.00,Malignant neoplasm of unspecified main bronchus,9
ICD10CM,C34.01,Malignant neoplasm of right main bronchus,9
ICD10CM,C34.02,Malignant neoplasm of left main bronchus,9
ICD10CM,C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",9
ICD10CM,C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",9
ICD10CM,C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",9
ICD10CM,C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",9
ICD10CM,C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",9
ICD10CM,C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",9
ICD10CM,C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",9
ICD10CM,C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,9
ICD10CM,C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,9
ICD10CM,C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,9
ICD10CM,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,9
ICD10CM,C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,9
ICD10CM,C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,9
ICD10CM,C38.4,Malignant neoplasm of pleura,9
ICD10CM,C45.0,Mesothelioma of pleura,9
ICD10CM,C45.1,Mesothelioma of peritoneum,9
ICD10CM,C45.2,Mesothelioma of pericardium,9
ICD10CM,C45.7,Mesothelioma of other sites,9
ICD10CM,C45.9,"Mesothelioma, unspecified",9
ICD10CM,C48.0,Malignant neoplasm of retroperitoneum,9
ICD10CM,C48.1,Malignant neoplasm of specified parts of peritoneum,9
ICD10CM,C48.2,"Malignant neoplasm of peritoneum, unspecified",9
ICD10CM,C48.8,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,9
ICD10CM,C90.00,Multiple myeloma not having achieved remission,9
ICD10CM,C90.01,Multiple myeloma in remission,9
ICD10CM,C90.02,Multiple myeloma in relapse,9
ICD10CM,C90.10,Plasma cell leukemia not having achieved remission,9
ICD10CM,C90.11,Plasma cell leukemia in remission,9
ICD10CM,C90.12,Plasma cell leukemia in relapse,9
ICD10CM,C90.20,Extramedullary plasmacytoma not having achieved remission,9
ICD10CM,C90.21,Extramedullary plasmacytoma in remission,9
ICD10CM,C90.22,Extramedullary plasmacytoma in relapse,9
ICD10CM,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",9
ICD10CM,C92.11,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",9
ICD10CM,C92.12,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse",9
ICD10CM,C92.20,"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",9
ICD10CM,C92.21,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission",9
ICD10CM,C92.22,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse",9
ICD10CM,C92.30,"Myeloid sarcoma, not having achieved remission",9
ICD10CM,C92.31,"Myeloid sarcoma, in remission",9
ICD10CM,C92.32,"Myeloid sarcoma, in relapse",9
ICD10CM,C92.90,"Myeloid leukemia, unspecified, not having achieved remission",9
ICD10CM,C92.91,"Myeloid leukemia, unspecified in remission",9
ICD10CM,C92.92,"Myeloid leukemia, unspecified in relapse",9
ICD10CM,C92.Z0,Other myeloid leukemia not having achieved remission,9
ICD10CM,C92.Z1,"Other myeloid leukemia, in remission",9
ICD10CM,C92.Z2,"Other myeloid leukemia, in relapse",9
ICD10CM,C93.10,Chronic myelomonocytic leukemia not having achieved remission,9
ICD10CM,C93.11,"Chronic myelomonocytic leukemia, in remission",9
ICD10CM,C93.12,"Chronic myelomonocytic leukemia, in relapse",9
ICD10CM,C93.30,"Juvenile myelomonocytic leukemia, not having achieved remission",9
ICD10CM,C93.31,"Juvenile myelomonocytic leukemia, in remission",9
ICD10CM,C93.32,"Juvenile myelomonocytic leukemia, in relapse",9
ICD10CM,C93.90,"Monocytic leukemia, unspecified, not having achieved remission",9
ICD10CM,C93.91,"Monocytic leukemia, unspecified in remission",9
ICD10CM,C93.92,"Monocytic leukemia, unspecified in relapse",9
ICD10CM,C93.Z0,"Other monocytic leukemia, not having achieved remission",9
ICD10CM,C93.Z1,"Other monocytic leukemia, in remission",9
ICD10CM,C93.Z2,"Other monocytic leukemia, in relapse",9
ICD10CM,C94.30,Mast cell leukemia not having achieved remission,9
ICD10CM,C94.31,"Mast cell leukemia, in remission",9
ICD10CM,C94.32,"Mast cell leukemia, in relapse",9
ICD10CM,C94.80,Other specified leukemias not having achieved remission,9
ICD10CM,C94.81,"Other specified leukemias, in remission",9
ICD10CM,C94.82,"Other specified leukemias, in relapse",9
ICD10CM,C40.00,Malignant neoplasm of scapula and long bones of unspecified upper limb,10
ICD10CM,C40.01,Malignant neoplasm of scapula and long bones of right upper limb,10
ICD10CM,C40.02,Malignant neoplasm of scapula and long bones of left upper limb,10
ICD10CM,C40.10,Malignant neoplasm of short bones of unspecified upper limb,10
ICD10CM,C40.11,Malignant neoplasm of short bones of right upper limb,10
ICD10CM,C40.12,Malignant neoplasm of short bones of left upper limb,10
ICD10CM,C40.20,Malignant neoplasm of long bones of unspecified lower limb,10
ICD10CM,C40.21,Malignant neoplasm of long bones of right lower limb,10
ICD10CM,C40.22,Malignant neoplasm of long bones of left lower limb,10
ICD10CM,C40.30,Malignant neoplasm of short bones of unspecified lower limb,10
ICD10CM,C40.31,Malignant neoplasm of short bones of right lower limb,10
ICD10CM,C40.32,Malignant neoplasm of short bones of left lower limb,10
ICD10CM,C40.80,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,10
ICD10CM,C40.81,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,10
ICD10CM,C40.82,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,10
ICD10CM,C40.90,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,10
ICD10CM,C40.91,Malignant neoplasm of unspecified bones and articular cartilage of right limb,10
ICD10CM,C40.92,Malignant neoplasm of unspecified bones and articular cartilage of left limb,10
ICD10CM,C41.0,Malignant neoplasm of bones of skull and face,10
ICD10CM,C41.1,Malignant neoplasm of mandible,10
ICD10CM,C41.2,Malignant neoplasm of vertebral column,10
ICD10CM,C41.3,"Malignant neoplasm of ribs, sternum and clavicle",10
ICD10CM,C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx",10
ICD10CM,C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified",10
ICD10CM,C46.0,Kaposi's sarcoma of skin,10
ICD10CM,C46.1,Kaposi's sarcoma of soft tissue,10
ICD10CM,C46.2,Kaposi's sarcoma of palate,10
ICD10CM,C46.3,Kaposi's sarcoma of lymph nodes,10
ICD10CM,C46.4,Kaposi's sarcoma of gastrointestinal sites,10
ICD10CM,C46.50,Kaposi's sarcoma of unspecified lung,10
ICD10CM,C46.51,Kaposi's sarcoma of right lung,10
ICD10CM,C46.52,Kaposi's sarcoma of left lung,10
ICD10CM,C46.7,Kaposi's sarcoma of other sites,10
ICD10CM,C46.9,"Kaposi's sarcoma, unspecified",10
ICD10CM,C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck",10
ICD10CM,C47.10,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",10
ICD10CM,C47.11,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",10
ICD10CM,C47.12,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",10
ICD10CM,C47.20,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",10
ICD10CM,C47.21,"Malignant neoplasm of peripheral nerves of right lower limb, including hip",10
ICD10CM,C47.22,"Malignant neoplasm of peripheral nerves of left lower limb, including hip",10
ICD10CM,C47.3,Malignant neoplasm of peripheral nerves of thorax,10
ICD10CM,C47.4,Malignant neoplasm of peripheral nerves of abdomen,10
ICD10CM,C47.5,Malignant neoplasm of peripheral nerves of pelvis,10
ICD10CM,C47.6,"Malignant neoplasm of peripheral nerves of trunk, unspecified",10
ICD10CM,C47.8,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,10
ICD10CM,C47.9,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",10
ICD10CM,C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck",10
ICD10CM,C49.10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",10
ICD10CM,C49.11,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",10
ICD10CM,C49.12,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",10
ICD10CM,C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",10
ICD10CM,C49.21,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",10
ICD10CM,C49.22,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",10
ICD10CM,C49.3,Malignant neoplasm of connective and soft tissue of thorax,10
ICD10CM,C49.4,Malignant neoplasm of connective and soft tissue of abdomen,10
ICD10CM,C49.5,Malignant neoplasm of connective and soft tissue of pelvis,10
ICD10CM,C49.6,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",10
ICD10CM,C49.8,Malignant neoplasm of overlapping sites of connective and soft tissue,10
ICD10CM,C49.9,"Malignant neoplasm of connective and soft tissue, unspecified",10
ICD10CM,C49.A0,"Gastrointestinal stromal tumor, unspecified site",10
ICD10CM,C49.A1,Gastrointestinal stromal tumor of esophagus,10
ICD10CM,C49.A2,Gastrointestinal stromal tumor of stomach,10
ICD10CM,C49.A3,Gastrointestinal stromal tumor of small intestine,10
ICD10CM,C49.A4,Gastrointestinal stromal tumor of large intestine,10
ICD10CM,C49.A5,Gastrointestinal stromal tumor of rectum,10
ICD10CM,C49.A9,Gastrointestinal stromal tumor of other sites,10
ICD10CM,C56.1,Malignant neoplasm of right ovary,10
ICD10CM,C56.2,Malignant neoplasm of left ovary,10
ICD10CM,C56.9,Malignant neoplasm of unspecified ovary,10
ICD10CM,C57.00,Malignant neoplasm of unspecified fallopian tube,10
ICD10CM,C57.01,Malignant neoplasm of right fallopian tube,10
ICD10CM,C57.02,Malignant neoplasm of left fallopian tube,10
ICD10CM,C57.10,Malignant neoplasm of unspecified broad ligament,10
ICD10CM,C57.11,Malignant neoplasm of right broad ligament,10
ICD10CM,C57.12,Malignant neoplasm of left broad ligament,10
ICD10CM,C57.20,Malignant neoplasm of unspecified round ligament,10
ICD10CM,C57.21,Malignant neoplasm of right round ligament,10
ICD10CM,C57.22,Malignant neoplasm of left round ligament,10
ICD10CM,C57.3,Malignant neoplasm of parametrium,10
ICD10CM,C57.4,"Malignant neoplasm of uterine adnexa, unspecified",10
ICD10CM,C58,Malignant neoplasm of placenta,10
ICD10CM,C70.0,Malignant neoplasm of cerebral meninges,10
ICD10CM,C70.1,Malignant neoplasm of spinal meninges,10
ICD10CM,C70.9,"Malignant neoplasm of meninges, unspecified",10
ICD10CM,C71.0,"Malignant neoplasm of cerebrum, except lobes and ventricles",10
ICD10CM,C71.1,Malignant neoplasm of frontal lobe,10
ICD10CM,C71.2,Malignant neoplasm of temporal lobe,10
ICD10CM,C71.3,Malignant neoplasm of parietal lobe,10
ICD10CM,C71.4,Malignant neoplasm of occipital lobe,10
ICD10CM,C71.5,Malignant neoplasm of cerebral ventricle,10
ICD10CM,C71.6,Malignant neoplasm of cerebellum,10
ICD10CM,C71.7,Malignant neoplasm of brain stem,10
ICD10CM,C71.8,Malignant neoplasm of overlapping sites of brain,10
ICD10CM,C71.9,"Malignant neoplasm of brain, unspecified",10
ICD10CM,C72.0,Malignant neoplasm of spinal cord,10
ICD10CM,C72.1,Malignant neoplasm of cauda equina,10
ICD10CM,C72.20,Malignant neoplasm of unspecified olfactory nerve,10
ICD10CM,C72.21,Malignant neoplasm of right olfactory nerve,10
ICD10CM,C72.22,Malignant neoplasm of left olfactory nerve,10
ICD10CM,C72.30,Malignant neoplasm of unspecified optic nerve,10
ICD10CM,C72.31,Malignant neoplasm of right optic nerve,10
ICD10CM,C72.32,Malignant neoplasm of left optic nerve,10
ICD10CM,C72.40,Malignant neoplasm of unspecified acoustic nerve,10
ICD10CM,C72.41,Malignant neoplasm of right acoustic nerve,10
ICD10CM,C72.42,Malignant neoplasm of left acoustic nerve,10
ICD10CM,C72.50,Malignant neoplasm of unspecified cranial nerve,10
ICD10CM,C72.59,Malignant neoplasm of other cranial nerves,10
ICD10CM,C72.9,"Malignant neoplasm of central nervous system, unspecified",10
ICD10CM,C74.00,Malignant neoplasm of cortex of unspecified adrenal gland,10
ICD10CM,C74.01,Malignant neoplasm of cortex of right adrenal gland,10
ICD10CM,C74.02,Malignant neoplasm of cortex of left adrenal gland,10
ICD10CM,C74.10,Malignant neoplasm of medulla of unspecified adrenal gland,10
ICD10CM,C74.11,Malignant neoplasm of medulla of right adrenal gland,10
ICD10CM,C74.12,Malignant neoplasm of medulla of left adrenal gland,10
ICD10CM,C74.90,Malignant neoplasm of unspecified part of unspecified adrenal gland,10
ICD10CM,C74.91,Malignant neoplasm of unspecified part of right adrenal gland,10
ICD10CM,C74.92,Malignant neoplasm of unspecified part of left adrenal gland,10
ICD10CM,C75.1,Malignant neoplasm of pituitary gland,10
ICD10CM,C75.2,Malignant neoplasm of craniopharyngeal duct,10
ICD10CM,C75.3,Malignant neoplasm of pineal gland,10
ICD10CM,C77.3,Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes,10
ICD10CM,C77.9,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",10
ICD10CM,C79.2,Secondary malignant neoplasm of skin,10
ICD10CM,C79.81,Secondary malignant neoplasm of breast,10
ICD10CM,C79.82,Secondary malignant neoplasm of genital organs,10
ICD10CM,C81.00,"Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site",10
ICD10CM,C81.01,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",10
